location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,incidence,mortality,iso_code,continent,cfr
Latvia,1866934.0,31.21,43.9,19.75,14.14,25063.85,350.06,4.91,25.6,51.0,5.57,75.29,0.87,2021-09-14,147788.0,460.0,2621.0,8.0,79160.81,246.39,1403.91,4.28,4106.2,32.14,LVA,Europe,1.77
Lebanon,6769151.0,594.56,31.1,8.51,5.43,13367.56,266.59,12.71,26.9,40.7,2.9,78.93,0.74,2021-09-14,614688.0,706.0,8210.0,8.0,90807.25,104.3,1212.86,1.18,4679.46,34.57,LBN,Asia,1.34
Lesotho,2159067.0,73.56,22.2,4.51,2.65,2851.15,405.13,3.94,0.4,53.9,,54.33,0.53,2021-09-14,14395.0,0.0,403.0,0.0,6667.23,0.0,186.66,0.0,70.4,2.78,LSO,Africa,2.8
Liberia,5180208.0,49.13,19.2,3.06,1.76,752.79,272.51,2.42,1.5,18.1,0.8,64.1,0.48,2021-09-14,5727.0,0.0,245.0,0.0,1105.55,0.0,47.3,0.0,43.05,4.63,LBR,Africa,4.28
Libya,6958538.0,3.62,29.0,4.42,2.82,17881.51,341.86,10.43,,,3.7,72.91,0.72,2021-09-14,326370.0,1149.0,4457.0,16.0,46902.09,165.12,640.51,2.3,6386.4,79.47,LBY,Africa,1.37
Liechtenstein,38254.0,237.01,,,,,,7.77,,,2.4,82.49,0.92,2021-09-14,3390.0,4.0,60.0,0.0,88618.18,104.56,1568.46,0.0,6143.15,26.14,LIE,Europe,1.77
Lithuania,2689862.0,45.14,43.5,19.0,13.78,29524.26,342.99,3.67,21.3,38.0,6.56,75.93,0.88,2021-09-14,309855.0,899.0,4721.0,10.0,115193.64,334.22,1755.11,3.72,7452.06,100.38,LTU,Europe,1.52
Luxembourg,634814.0,231.45,39.7,14.31,9.84,94277.96,128.28,4.42,20.9,26.0,4.51,82.25,0.92,2021-09-14,76894.0,96.0,834.0,0.0,121128.39,151.22,1313.77,0.0,3621.53,9.45,LUX,Europe,1.08
Madagascar,28427333.0,43.95,19.6,2.93,1.69,1416.44,405.99,3.94,,,0.2,67.04,0.53,2021-09-14,42898.0,0.0,958.0,0.0,1509.04,0.0,33.7,0.0,3.06,0.21,MDG,Africa,2.23
Malawi,19647681.0,197.52,18.1,2.98,1.78,1095.04,227.35,3.94,4.4,24.7,1.3,64.26,0.48,2021-09-14,61171.0,34.0,2244.0,2.0,3113.4,1.73,114.21,0.1,157.17,14.05,MWI,Africa,3.67
